ProcessName,RegionName,Time,Level,electricity,oil,gas,geo,heat,hydrogen,wind,lignite,biomass,water,uranium,solar,coal,hydro,waste,methanol,ammonia,CO2
Unit,-,Year,-,GJ/GJ,GJ/GJ,GJ/GJ,GJ/GJ,GJ/GJ,GJ/GJ,GJ/GJ,GJ/GJ,GJ/GJ,GJ/GJ,GJ/GJ,GJ/GJ,GJ/GJ,GJ/GJ,GJ/GJ,t/GJ,t/GJ,t/GJ
Biomass,DE,2020,fixed,0,0,0,0,0,0,0,0,2.22,0,0,0,0,0,0,0,0,0
Coal,DE,2020,fixed,0,0,0,0,0,0,0,0,0,0,0,0,2.27,0,0,0,0,0
Fusion_Stellarator,DE,2020,fixed,0,0,0,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0
Fusion_Tokamak,DE,2020,fixed,0,0,0,0,1.194,0,0,0,0,0,0,0,0,0,0,0,0,0
Gas,DE,2020,fixed,0,0,1.639344262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geothermal,DE,2020,fixed,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H2_CCGT,DE,2020,fixed,0,0,0,0,0,1.821493625,0,0,0,0,0,0,0,0,0,0,0,0
Hydro,DE,2020,fixed,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Lignite,DE,2020,fixed,0,0,0,0,0,0,0,2.564102564,0,0,0,0,0,0,0,0,0,0
Oil,DE,2020,fixed,0,0,3.303303303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SolarPV,DE,2020,fixed,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Uranium,DE,2020,fixed,0,0,0,0,0,0,0,0,0,0,3.03030303,0,0,0,0,0,0,0
Waste,DE,2020,fixed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.222222222,0,0,0
WindOff,DE,2020,fixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
WindOn,DE,2020,fixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
