ProcessName,RegionName,Time,ObjSort,month,day,hour,UtilizationFactor,MinimumServiceFactor
WindOn,DE,2020,fixed,Winter,all-week,a,0.26,1
WindOn,DE,2020,fixed,Winter,all-week,b,0.25,1
WindOn,DE,2020,fixed,Winter,all-week,c,0.25,1
WindOn,DE,2020,fixed,Winter,all-week,d,0.24,1
WindOn,DE,2020,fixed,Winter,all-week,e,0.22,1
WindOn,DE,2020,fixed,Winter,all-week,f,0.21,1
WindOn,DE,2020,fixed,Winter,all-week,g,0.21,1
WindOn,DE,2020,fixed,Winter,all-week,h,0.23,1
WindOn,DE,2020,fixed,Winter,all-week,i,0.25,1
WindOn,DE,2020,fixed,Winter,all-week,j,0.25,1
WindOn,DE,2020,fixed,Winter,all-week,k,0.26,1
WindOn,DE,2020,fixed,Winter,all-week,l,0.29,1
WindOn,DE,2020,fixed,Winter,all-week,m,0.3,1
WindOn,DE,2020,fixed,Winter,all-week,n,0.29,1
WindOn,DE,2020,fixed,Winter,all-week,o,0.28,1
WindOn,DE,2020,fixed,Winter,all-week,p,0.28,1
WindOn,DE,2020,fixed,Winter,all-week,q,0.28,1
WindOn,DE,2020,fixed,Winter,all-week,r,0.27,1
WindOn,DE,2020,fixed,Winter,all-week,s,0.28,1
WindOn,DE,2020,fixed,Winter,all-week,t,0.28,1
WindOn,DE,2020,fixed,Winter,all-week,u,0.27,1
WindOn,DE,2020,fixed,Winter,all-week,v,0.27,1
WindOn,DE,2020,fixed,Winter,all-week,x,0.26,1
WindOn,DE,2020,fixed,Winter,all-week,y,0.26,1
WindOn,DE,2020,fixed,Spring,all-week,a,0.19,1
WindOn,DE,2020,fixed,Spring,all-week,b,0.18,1
WindOn,DE,2020,fixed,Spring,all-week,c,0.19,1
WindOn,DE,2020,fixed,Spring,all-week,d,0.18,1
WindOn,DE,2020,fixed,Spring,all-week,e,0.18,1
WindOn,DE,2020,fixed,Spring,all-week,f,0.16,1
WindOn,DE,2020,fixed,Spring,all-week,g,0.16,1
WindOn,DE,2020,fixed,Spring,all-week,h,0.18,1
WindOn,DE,2020,fixed,Spring,all-week,i,0.2,1
WindOn,DE,2020,fixed,Spring,all-week,j,0.22,1
WindOn,DE,2020,fixed,Spring,all-week,k,0.24,1
WindOn,DE,2020,fixed,Spring,all-week,l,0.25,1
WindOn,DE,2020,fixed,Spring,all-week,m,0.24,1
WindOn,DE,2020,fixed,Spring,all-week,n,0.23,1
WindOn,DE,2020,fixed,Spring,all-week,o,0.23,1
WindOn,DE,2020,fixed,Spring,all-week,p,0.22,1
WindOn,DE,2020,fixed,Spring,all-week,q,0.21,1
WindOn,DE,2020,fixed,Spring,all-week,r,0.21,1
WindOn,DE,2020,fixed,Spring,all-week,s,0.22,1
WindOn,DE,2020,fixed,Spring,all-week,t,0.22,1
WindOn,DE,2020,fixed,Spring,all-week,u,0.21,1
WindOn,DE,2020,fixed,Spring,all-week,v,0.2,1
WindOn,DE,2020,fixed,Spring,all-week,x,0.2,1
WindOn,DE,2020,fixed,Spring,all-week,y,0.19,1
WindOn,DE,2020,fixed,Summer,all-week,a,0.27,1
WindOn,DE,2020,fixed,Summer,all-week,b,0.25,1
WindOn,DE,2020,fixed,Summer,all-week,c,0.24,1
WindOn,DE,2020,fixed,Summer,all-week,d,0.24,1
