ProcessName,RegionName,Time,ObjSort,month,day,hour,UtilizationFactor,MinimumServiceFactor
SolarPV,DE,2020,fixed,Winter,all-week,Night,4.74228E-05,1
SolarPV,DE,2020,fixed,Winter,all-week,Day,0.084646672,1
SolarPV,DE,2020,fixed,Spring,all-week,Night,0.020214249,1
SolarPV,DE,2020,fixed,Spring,all-week,Day,0.301397441,1
SolarPV,DE,2020,fixed,Summer,all-week,Night,0.034065599,1
SolarPV,DE,2020,fixed,Summer,all-week,Day,0.392613435,1
SolarPV,DE,2020,fixed,Fall,all-week,Night,0.006057854,1
SolarPV,DE,2020,fixed,Fall,all-week,Day,0.168505122,1
Windon,DE,2020,fixed,Winter,all-week,Night,0.326893687,1
Windon,DE,2020,fixed,Winter,all-week,Day,0.335260329,1
Windon,DE,2020,fixed,Spring,all-week,Night,0.26369934,1
Windon,DE,2020,fixed,Spring,all-week,Day,0.304559676,1
Windon,DE,2020,fixed,Summer,all-week,Night,0.123925295,1
Windon,DE,2020,fixed,Summer,all-week,Day,0.164938984,1
Windon,DE,2020,fixed,Fall,all-week,Night,0.199507997,1
Windon,DE,2020,fixed,Fall,all-week,Day,0.229163075,1
Windoff,DE,2020,fixed,Winter,all-week,Night,0.55795604,1
Windoff,DE,2020,fixed,Winter,all-week,Day,0.548432142,1
Windoff,DE,2020,fixed,Spring,all-week,Night,0.34787134,1
Windoff,DE,2020,fixed,Spring,all-week,Day,0.344255353,1
Windoff,DE,2020,fixed,Summer,all-week,Night,0.26796978,1
Windoff,DE,2020,fixed,Summer,all-week,Day,0.249651629,1
Windoff,DE,2020,fixed,Fall,all-week,Night,0.386344513,1
Windoff,DE,2020,fixed,Fall,all-week,Day,0.385148056,1
