Commodity,CommodityType,CommodityName,CommodityEmissionFactor_CO2,HeatRate,Unit
electricity,Energy,electricity,0,1,GJ
oil,Energy,oil,0,1,GJ
gas,Energy,gas,0,1,GJ
geo,Energy,geo,0,1,GJ
heat,Energy,heat,0,1,GJ
hydrogen,Energy,hydrogen,0,1,GJ
wind,Energy,wind,0,1,GJ
lignite,Energy,lignite,0,1,GJ
biomass,Energy,biomass,0,1,GJ
water,Energy,water,0,1,GJ
uranium,Energy,uranium,0,1,GJ
solar,Energy,solar,0,1,GJ
coal,Energy,coal,0,1,GJ
hydro,Energy,hydro,0,1,GJ
waste,Energy,waste,0,1,GJ
diesel,Energy,diesel,0,1,GJ
petrol,Energy,petrol,0,1,GJ
LPG,Energy,LPG,0,1,GJ
CO2,Environmental,CO2,0,1,t
ft_road_tkm,Service,ft_road_tkm,0,1,tkm
pt_bus_pkm,Service,pt_bus_pkm,0,1,pkm
pt_car_pkm,Service,pt_car_pkm,0,1,pkm
